station,arrondissement,mm,dd,wday,dur
de Rouen / Hogan,Ville-Marie,5,28,Sunday,16.61585575
de la Côte St-Antoine / Royal,Côte-des-Neiges - Notre-Dame-de-Grâce,7,28,Friday,16.6556261
Bercy / Rachel,Le Plateau-Mont-Royal,8,11,Friday,13.55057439
de Rouen / Hogan,Ville-Marie,6,4,Sunday,14.55855303
Hélène-Baillargeon / St-Denis,Le Plateau-Mont-Royal,6,4,Sunday,11.39226952
St-Urbain / de la Gauchetière,Ville-Marie,7,6,Thursday,18.29529112
du Mont-Royal / Augustin-Frigon,Rosemont - La Petite-Patrie,6,8,Thursday,11.71833506
Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,5,15,Monday,10.37486101
Pontiac / Gilford,Le Plateau-Mont-Royal,7,7,Friday,10.64844832
Larivière / de Lorimier,Ville-Marie,10,23,Monday,10.78741548
Christophe-Colomb / St-Joseph,Le Plateau-Mont-Royal,8,10,Thursday,12.37169405
Parthenais / du Mont-Royal,Le Plateau-Mont-Royal,9,26,Tuesday,10.7603543
de l'Esplanade / du Mont-Royal,Le Plateau-Mont-Royal,8,19,Saturday,12.55473038
du Rosaire / St-Hubert,Villeray - Saint-Michel - Parc-Extension,5,15,Monday,14.79208735
8e avenue / Dandurand,Rosemont - La Petite-Patrie,5,14,Sunday,17.75735729
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),Côte-des-Neiges - Notre-Dame-de-Grâce,6,27,Tuesday,16.43684524
Labadie / du Parc,Le Plateau-Mont-Royal,8,16,Wednesday,13.61964516
8e avenue / Dandurand,Rosemont - La Petite-Patrie,10,13,Friday,13.08892843
de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,5,12,Friday,13.35500536
Ann / Wellington,Le Sud-Ouest,6,26,Monday,11.20583069
du Rosaire / St-Hubert,Villeray - Saint-Michel - Parc-Extension,9,30,Saturday,14.71693788
Beaubien / 8e avenue,Rosemont - La Petite-Patrie,6,20,Tuesday,13.15609498
Hélène-Baillargeon / St-Denis,Le Plateau-Mont-Royal,10,17,Tuesday,13.67382545
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,6,14,Wednesday,12.15791784
du President-Kennedy / Union,Ville-Marie,9,23,Saturday,10.96646421
12e avenue / St-Zotique,Rosemont - La Petite-Patrie,7,19,Wednesday,14.78209323
de l'Hôtel-de-Ville / Sherbrooke,Ville-Marie,7,17,Monday,10.5645867
12e avenue / St-Zotique,Rosemont - La Petite-Patrie,9,14,Thursday,13.24991808
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,6,15,Thursday,10.4140295
Drolet / Marie-Anne,Le Plateau-Mont-Royal,9,19,Tuesday,10.96719043
Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,6,25,Sunday,18.41589885
du Mont-Royal / Augustin-Frigon,Rosemont - La Petite-Patrie,10,3,Tuesday,13.69151324
Metcalfe / de Maisonneuve,Ville-Marie,10,20,Friday,12.20132843
Union / René-Lévesque,Ville-Marie,9,19,Tuesday,12.63417519
Rose-de-Lima / Workman,Le Sud-Ouest,9,12,Tuesday,11.64583967
de la Côte St-Antoine / Royal,Côte-des-Neiges - Notre-Dame-de-Grâce,10,29,Sunday,11.63105
Lacombe / Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,9,16,Saturday,15.95275463
1ère  avenue / St-Zotique,Rosemont - La Petite-Patrie,7,20,Thursday,21.78749391
Ann / Wellington,Le Sud-Ouest,8,4,Friday,13.96696587
de Bullion / St-Joseph,Le Plateau-Mont-Royal,7,27,Thursday,10.07788679
de Bordeaux / Masson,Le Plateau-Mont-Royal,7,3,Monday,12.87063953
de Gaspé / St-Viateur,Le Plateau-Mont-Royal,10,6,Friday,10.68255529
du Mont-Royal / Augustin-Frigon,Rosemont - La Petite-Patrie,9,4,Monday,13.26684798
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,6,30,Friday,12.66045696
Fortune / Wellington,Le Sud-Ouest,7,20,Thursday,12.82166181
de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,6,24,Saturday,15.77777022
de la Roche / Bélanger,Rosemont - La Petite-Patrie,9,8,Friday,13.19751458
Pontiac / Gilford,Le Plateau-Mont-Royal,8,19,Saturday,9.32383642
5e avenue / Rosemont,Rosemont - La Petite-Patrie,8,17,Thursday,12.93587462
St-Dominique / St-Viateur,Le Plateau-Mont-Royal,7,31,Monday,10.68266795
Durocher / Beaumont,Villeray - Saint-Michel - Parc-Extension,5,25,Thursday,12.80537237
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),Côte-des-Neiges - Notre-Dame-de-Grâce,8,27,Sunday,14.8510827
Durocher / Beaumont,Villeray - Saint-Michel - Parc-Extension,6,5,Monday,14.57780152
